time,load_user1,load_user2,load_user3,load_user4,load_user5,load_user6,load_user7,load_user8,load_user9,load_user10,pv,wind
23,22.37423489,5.090984279,12.12276597,2.786317606,31.20072278,14.13465784,13.32024371,9.366521119,7.973561027,3.087488953,0,0.175588861
24,24.71346743,5.911439545,9.886014496,3.448138332,27.963248,13.16999237,8.897286017,10.14394759,7.287406667,2.973766176,0,0.1419637
25,23.13660718,9.799874016,12.23802644,4.53549945,27.71058898,10.9580241,9.290412138,10.02230057,8.966108946,2.864038054,0,0.191266331
26,17.09523629,10.26000526,10.15290038,4.881055648,33.93920181,14.00136346,11.12937818,8.636769686,7.133108556,3.000184086,0,0.212002972
27,19.46555019,10.49936481,12.29186593,5.449011444,27.51022884,13.8447096,12.03124787,7.708421292,7.646902554,3.709722883,0,0.238561448
28,19.81592013,11.37820535,12.76770463,6.388463647,26.17158615,15.18187435,11.16033756,9.801854948,7.432961274,2.88255288,0,0.168186242
29,26.46447156,11.07547278,11.41941015,15.18037104,28.98638763,12.43835402,13.35290843,12.2011023,11.28054428,2.859859038,8.42E-05,0.195942191
30,24.18718564,11.15000212,10.2768202,14.07779419,34.58694001,12.32162917,12.44170047,14.19618947,10.59173933,2.394088295,0.000100441,0.214129961
31,19.42269736,13.67980641,9.789707268,11.43228989,33.68669585,13.09178085,11.28175893,11.85033085,9.482284469,2.504308191,0.000110299,0.170390248
32,23.23979099,13.17858291,12.42767758,10.80571361,27.88438262,13.69760745,12.44282521,12.71736535,9.697507502,2.987973742,0.000126866,0.173351612
33,27.05566953,9.117245968,11.44431602,20.02946052,26.82328937,10.33416667,13.0610291,17.10725826,15.24821493,2.665354366,0.134764006,0.121950455
34,27.4638843,9.260617018,14.2171257,23.31112113,26.95027266,9.091190182,12.82444567,13.82638303,13.92001551,2.731634053,0.074714116,0.114611827
35,29.99714955,10.16327074,13.12271957,20.70762192,37.87999048,11.85697529,12.19713638,17.29853033,13.52389289,2.656808044,0.104545233,0.18081011
36,24.97311161,9.40740252,13.63387065,25.30639465,32.06155605,9.214737771,10.93057259,15.88905003,15.90497698,3.138727583,0.089884782,0.182230288
37,30.57486095,8.163190706,16.93459808,34.05036393,29.75228961,12.5833383,14.98790352,15.03124331,17.79436316,3.620187995,0.404129203,0.115254248
38,36.71842121,7.46633508,17.212695,38.87631382,36.6318305,13.19659286,14.24396754,16.88809179,17.7504696,4.498379853,0.236990576,0.144474886
39,30.93941871,5.766718064,20.5584562,34.27379665,35.46594739,12.5669256,13.47990893,16.25764422,19.11336143,4.105421549,0.157812895,0.109648169
40,38.69826736,6.849235441,19.22446981,37.97518992,29.70216472,13.7425431,13.61946829,20.92691617,15.12723356,4.615566405,0.310333613,0.123795425
41,29.70034822,6.510907578,20.52734698,38.35033237,34.75373801,12.25864181,21.0016212,14.56449556,18.19592807,3.826390643,0.404723174,0.120950065
42,33.29359898,7.436038487,20.10204966,35.0702591,32.81661197,12.10223854,19.4701709,16.027459,19.1744237,5.392253839,0.577527737,0.14967378
43,31.94472843,6.774416884,18.25356101,32.36486921,36.24085273,12.2700262,18.30468009,16.76556269,19.69430811,4.383495739,0.315618656,0.139242937
44,28.67930891,5.77235365,16.98489163,33.61850212,44.31885169,11.61176681,19.47290563,17.09322052,17.45991435,5.502682049,0.40881613,0.104188004
45,29.36273324,7.235095356,19.98068331,39.19656369,39.58931457,14.18388792,19.48562561,11.96839773,18.10764051,4.570707928,0.593187344,0.14145223
46,35.92190192,8.496946979,14.42262048,36.24238229,39.78585894,12.78480883,16.72798237,13.11569896,19.63304849,4.43487428,0.388199389,0.178916418
47,29.07245949,7.230994237,22.10803435,32.10409974,36.76810106,13.33509907,17.41430672,11.67366097,16.87798466,5.047684116,0.556717013,0.175447992
48,30.99926684,6.684986794,19.54836333,38.45411787,34.39075711,12.84841021,14.895047,13.94847677,14.07714207,4.408860274,0.44576974,0.157186036
49,29.06986322,8.808809964,19.43849193,23.2782758,35.10368008,17.60029263,19.71658961,19.3309778,14.57031509,5.256398003,0.371546732,0.228532082
50,36.00928063,9.931986091,18.96068426,24.10029715,31.53495435,15.85072168,21.81356312,18.33727262,13.40477221,5.327591823,0.588717017,0.180252766
51,36.93843793,8.779086178,17.18770919,27.06990227,38.07606129,14.68977322,19.11115756,15.87974875,13.58254231,5.318149035,0.372207169,0.119973907
52,29.93265895,7.466315481,14.821296,21.56106637,31.58524167,17.36096269,19.32265988,21.06009569,13.73008128,5.152739742,0.592501449,0.258218776
53,37.1685727,8.960989532,18.54610986,17.17841158,37.01351404,13.10982065,19.9741256,15.32924997,17.23618136,4.788624488,0.501829802,0.220050151
54,29.35462133,9.8731327,14.52599236,19.00849187,38.41438374,13.61160382,18.24428629,18.65723134,17.76670145,4.445960825,0.460527126,0.238278659
55,29.53086707,8.824273738,16.06317371,20.18139178,32.96555371,12.75490294,16.82540382,16.33627423,15.2005496,4.49121802,0.477684199,0.158599706
56,33.42683091,9.037225377,17.61993433,17.16932161,34.19457069,13.35807098,17.95970507,17.94143593,16.39116834,5.588552495,0.454015611,0.197295244
57,26.43240364,7.601276123,17.14726815,22.88280214,34.19057174,11.13211486,17.81252558,17.64007312,14.89315945,3.908265555,0.43017838,0.225097726
58,32.50387783,7.586716692,17.258078,28.45706195,37.15170175,14.00645478,15.26315073,21.75262349,16.50027065,4.466234734,0.616374691,0.221571279
59,33.94837054,7.306271956,20.57992184,27.32733706,30.5883924,13.44368384,17.75550345,16.57466225,14.61172311,5.106184286,0.340713182,0.166991463
60,32.47534685,7.643181459,16.67561063,25.89867013,34.71814406,13.31863545,17.5377362,15.2559256,14.53279003,5.174942921,0.535091918,0.176939022
61,33.16538126,7.280894033,18.12214366,30.83791388,31.40799163,13.64870999,18.07416851,16.99404785,13.82511598,4.729409463,0.360948189,0.158210866
62,34.32247864,8.432680578,17.07915063,30.15720531,25.12484396,13.58220722,16.51949587,14.594462,14.50076557,5.121390505,0.264215539,0.172794658
63,31.2051529,7.696360541,18.10490194,32.37509361,26.68556315,13.46490157,17.98914196,14.46426107,13.10551895,4.84034515,0.311799617,0.196667238
64,32.02372662,8.6379531,16.61077262,28.89262404,26.71016217,11.95378092,15.48434059,14.68191829,14.23673689,5.441301157,0.391406353,0.130387824
65,27.74579644,7.552033371,13.79057162,23.59414513,32.07132349,12.0434471,17.81012202,14.22732121,10.91211079,5.147387789,0.160781863,0.163590887
