time;load_user1;load_user2;load_user3;load_user4;load_user5;load_user6;load_user7;load_user8;load_user9;load_user10;std_load_user1;std_load_user2;std_load_user3;std_load_user4;std_load_user5;std_load_user6;std_load_user7;std_load_user8;std_load_user9;std_load_user10;pv;std_pv;wind;std_wind
20;21.76485398;5.123131047;11.39476961;3.573768532;29.72930438;13.32635009;11.26373626;9.556962025;8.26775342;3.119685374;1.710844066;0.95759447;3.418430884;0.125252282;2.21709346;1.507623106;1.232182101;1.407034963;2.480326026;0.935905612;0;0;0.184466667;0.177868943
21;22.54951326;5.57937555;11.41033624;3.423242468;29.02108908;13.08775605;11.35967207;9.794303797;8.033539442;3.162202381;1.570771764;0.525216714;3.423100872;0.11343965;2.179503497;1.368893318;1.475717792;1.3266629;2.410061832;0.948660714;0;0;0.183433333;0.171895454
22;22.54951326;5.57937555;11.41033624;3.423242468;29.02108908;13.08775605;11.35967207;9.794303797;8.033539442;3.162202381;1.570771764;0.525216714;3.423100872;0.11343965;2.179503497;1.368893318;1.475717792;1.3266629;2.410061832;0.948660714;0;0;0.183433333;0.171895454
23;22.54951326;5.57937555;11.41033624;3.423242468;29.02108908;13.08775605;11.35967207;9.794303797;8.033539442;3.162202381;1.570771764;0.525216714;3.423100872;0.11343965;2.179503497;1.368893318;1.475717792;1.3266629;2.410061832;0.948660714;0;0;0.183433333;0.171895454
24;22.54951326;5.57937555;11.41033624;3.423242468;29.02108908;13.08775605;11.35967207;9.794303797;8.033539442;3.162202381;1.570771764;0.525216714;3.423100872;0.11343965;2.179503497;1.368893318;1.475717792;1.3266629;2.410061832;0.948660714;0;0;0.183433333;0.171895454
25;21.97885196;9.927440633;11.62308012;4.691236251;30.16997167;13.29725326;11.32042561;10.04219409;7.953906689;3.119685374;1.512959536;0.734176008;3.486924035;1.291649262;2.374839724;1.49062226;1.479970657;1.011646064;2.386172007;0.935905612;0;0;0.185566667;0.169252654
26;21.97885196;9.927440633;11.62308012;4.691236251;30.16997167;13.29725326;11.32042561;10.04219409;7.953906689;3.119685374;1.512959536;0.734176008;3.486924035;1.291649262;2.374839724;1.49062226;1.479970657;1.011646064;2.386172007;0.935905612;0;0;0.185566667;0.169252654
27;21.97885196;9.927440633;11.62308012;4.691236251;30.16997167;13.29725326;11.32042561;10.04219409;7.953906689;3.119685374;1.512959536;0.734176008;3.486924035;1.291649262;2.374839724;1.49062226;1.479970657;1.011646064;2.386172007;0.935905612;0;0;0.185566667;0.169252654
28;21.97885196;9.927440633;11.62308012;4.691236251;30.16997167;13.29725326;11.32042561;10.04219409;7.953906689;3.119685374;1.512959536;0.734176008;3.486924035;1.291649262;2.374839724;1.49062226;1.479970657;1.011646064;2.386172007;0.935905612;0;0;0.185566667;0.169252654
29;23.73279624;12.45602463;11.58675799;12.35144668;30.76015109;12.47672253;12.66788767;12.37869198;9.729248642;2.742346939;1.87142623;0.763397491;3.476027397;3.705434003;2.303989372;1.157797342;1.301015632;1.622515099;2.918774592;0.822704082;9.86E-05;0.000402578;0.1858;0.167545444
30;23.73279624;12.45602463;11.58675799;12.35144668;30.76015109;12.47672253;12.66788767;12.37869198;9.729248642;2.742346939;1.87142623;0.763397491;3.476027397;3.705434003;2.303989372;1.157797342;1.301015632;1.622515099;2.918774592;0.822704082;0.000104998;0.000402578;0.1858;0.167545444
31;23.73279624;12.45602463;11.58675799;12.35144668;30.76015109;12.47672253;12.66788767;12.37869198;9.729248642;2.742346939;1.87142623;0.763397491;3.476027397;3.705434003;2.303989372;1.157797342;1.301015632;1.622515099;2.918774592;0.822704082;8.52E-05;0.000402578;0.1858;0.167545444
32;23.73279624;12.45602463;11.58675799;12.35144668;30.76015109;12.47672253;12.66788767;12.37869198;9.729248642;2.742346939;1.87142623;0.763397491;3.476027397;3.705434003;2.303989372;1.157797342;1.301015632;1.622515099;2.918774592;0.822704082;9.03E-05;0.000402578;0.1858;0.167545444
33;27.92463914;9.537159191;13.87505189;22.13683644;31.6572238;10.91713222;11.93092622;16.1128692;14.65711074;2.822066327;3.938357532;1.208008145;4.162515567;6.641050933;2.985035829;0.823635205;1.426226051;2.702867213;4.397133221;0.846619898;0.103247351;0.0762908;0.158733333;0.154796849
34;27.92463914;9.537159191;13.87505189;22.13683644;31.6572238;10.91713222;11.93092622;16.1128692;14.65711074;2.822066327;3.938357532;1.208008145;4.162515567;6.641050933;2.985035829;0.823635205;1.426226051;2.702867213;4.397133221;0.846619898;0.12545428;0.0762908;0.158733333;0.154796849
35;27.92463914;9.537159191;13.87505189;22.13683644;31.6572238;10.91713222;11.93092622;16.1128692;14.65711074;2.822066327;3.938357532;1.208008145;4.162515567;6.641050933;2.985035829;0.823635205;1.426226051;2.702867213;4.397133221;0.846619898;0.103807913;0.0762908;0.158733333;0.154796849
36;27.92463914;9.537159191;13.87505189;22.13683644;31.6572238;10.91713222;11.93092622;16.1128692;14.65711074;2.822066327;3.938357532;1.208008145;4.162515567;6.641050933;2.985035829;0.823635205;1.426226051;2.702867213;4.397133221;0.846619898;0.12217873;0.0762908;0.158733333;0.154796849
37;31.66750587;7.003078276;17.6577418;36.41481349;33.71104816;12.4127095;14.51247166;17.09915612;16.9805134;4.400510204;4.124930667;1.347903894;5.29732254;10.92444405;3.804724965;1.587101966;1.549400449;1.570742173;5.094154019;1.320153061;0.304721273;0.148919773;0.116766667;0.16697216
